,file,parsed,entities,labels,position_start,position_end
PMC8021916,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8021916\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by The Institutional Review Board of the Songeui Campus, The Catholic University of Korea. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.","[The Institutional Review Board, The Catholic University of Korea]","['ORG', 'ORG']","[71, 125]","[101, 157]"
PMC8027113,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8027113\sections\1_body\5_ethics_statement\1_p.xml,"The study was reviewed and approved by the Regional Committees for Medical and Health Research Ethics REK Midt, ref no 136767. Written informed consent from the participants was not required in accordance with national legislation and institutional requirements.","[the Regional Committees for Medical and Health Research Ethics REK Midt, 136767]","['ORG', 'DATE']","[39, 119]","[110, 125]"
PMC8039907,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8039907\sections\2_back\2_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Experimental Animal Ethics Committee of Nanjing University of Chinese Medicine.,[the Experimental Animal Ethics Committee of Nanjing University of Chinese Medicine],['ORG'],[46],[128]
PMC8042212,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8042212\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China.","[the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China, the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China]","['ORG', 'ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'GPE', 'GPE']","[71, 113, 142, 153, 302, 344, 373, 384]","[111, 140, 151, 158, 342, 371, 382, 389]"
PMC8044745,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8044745\sections\1_body\6_ethics_statement\1_p.xml,We used an established protocol for collection of extracted teeth in our biorepository and cell isolation that was approved by the Ethics Committee of UT Health San Antonio.,[the Ethics Committee of UT Health San Antonio],['ORG'],[127],[172]
PMC8071850,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8071850\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by this research was approved by Research Ethics Committee of the Federal University of Goiás (CEP/UFG, protocol no. 2.269.572) and by the Ethics Commission for the Use of Animals of the São Paulo State University Júlio de Mesquita Filho (CEUA/UNESP, protocol no. 0004/2017).","[Research Ethics Committee, the Federal University of Goiás, the Ethics Commission, CEUA/UNESP]","['ORG', 'ORG', 'ORG', 'ORG']","[76, 105, 178, 282]","[101, 136, 199, 292]"
PMC8072473,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8072473\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the ethics committee of Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology]","['ORG', 'ORG', 'ORG']","[95, 112, 136]","[110, 134, 181]"
PMC8075349,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8075349\sections\1_body\6_ethics_statement\1_p.xml,"The parents gave their written informed consent for the treatment and analysis of clinical data. Ethical approval was waived by the local Ethics Committee of Wroclaw Medical University in view of the retrospective nature of the study, and all procedures being performed were part of routine care.",[Ethics Committee of Wroclaw Medical University],['ORG'],[138],[184]
PMC8076590,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8076590\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Cincinnati Children’s Hospital Medical Center Institutional Review Board. Written informed consent from the participants’ legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements. The animal study was reviewed and approved by Cincinnati Children’s Hospital Medical Center Institutional Animal Care and Use Committee.,"[Cincinnati Children’s Hospital Medical Center Institutional Review Board, Cincinnati Children’s Hospital Medical Center Institutional Animal Care]","['ORG', 'ORG']","[71, 392]","[143, 463]"
PMC8086557,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8086557\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Newfoundland and Labrador Human Research Ethics Board #2018.210. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[Newfoundland, Labrador Human Research Ethics Board, 2018.210]","['ORG', 'ORG', 'MONEY']","[71, 88, 126]","[83, 124, 134]"
PMC8092438,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8092438\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics committee “Catania 2”, ARNAS Garibaldi, Catania, P.zza S. M. di Gesù n. 5. The patients/participants provided their written informed consent to participate in this study.","[Ethics, Catania 2, ARNAS Garibaldi, Catania, S. M. di Gesù, 5]","['ORG', 'WORK_OF_ART', 'PERSON', 'GPE', 'PERSON', 'CARDINAL']","[71, 89, 101, 118, 133, 150]","[77, 98, 116, 125, 146, 151]"
PMC8100436,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8100436\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Cangzhou Central Hospital.,[Cangzhou Central Hospital],['ORG'],[46],[71]
PMC8101326,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8101326\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Beijing Friendship Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,[Beijing Friendship Hospital Ethics Committee],['ORG'],[71],[115]
PMC8134684,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8134684\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Institutional Animal Care and Use Committee (IACUC) of Tianjin Medical University.,"[Institutional Animal Care and Use Committee (IACUC, Tianjin Medical University]","['ORG', 'ORG']","[46, 101]","[96, 127]"
PMC8136432,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8136432\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[]
PMC8138055,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8138055\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Harbin Medical University Cancer Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Harbin Medical University Cancer Hospital.,"[Harbin Medical University Cancer Hospital, Harbin Medical University Cancer Hospital]","['ORG', 'ORG']","[71, 256]","[112, 297]"
PMC8138425,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8138425\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center]","['PERSON', 'ORG']","[71, 129]","[127, 161]"
PMC8143974,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8143974\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the University of Pennsylvania Institutional Review Board. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements. Written informed consent was not obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[the University of Pennsylvania Institutional Review Board],['ORG'],[71],[128]
PMC8149898,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8149898\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Hospital Ethics Committee of the International Peace Maternity Child Health Hospital of China Welfare Institute (IPMCH). The patients/participants provided their written informed consent to participate in this study.,[the Hospital Ethics Committee],['ORG'],[71],[100]
PMC8171186,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8171186\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics Committee of The Affiliated Drum Tower Hospital, Medical School of Nanjing University. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Committee of Experimental Animal Administration of The Affiliated Drum Tower Hospital, Medical School of Nanjing University.","[Ethics Committee of The Affiliated Drum Tower Hospital, Medical School of Nanjing University, Committee of Experimental Animal Administration of The Affiliated Drum Tower Hospital, Medical School of Nanjing University]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 127, 307, 394]","[125, 163, 392, 430]"
PMC8175661,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8175661\sections\1_body\5_ethics_statement\1_p.xml,Approval for hESC work was obtained from the ISCIII-Comisión Nacional de Garantías (0336E/14973/2017).,[],[],[],[]
PMC8176860,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8176860\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of First People’s Hospital of Huzhou. The patients/participants provided their written informed consent to participate in this study.,"[Ethics, First People’s Hospital, Huzhou]","['ORG', 'ORG', 'GPE']","[71, 91, 118]","[77, 114, 124]"
PMC8180599,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8180599\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IRAS. The ethics committee waived the requirement of written informed consent for participation.,[],[],[],[]
PMC8183571,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8183571\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Huadong hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Animal Ethics and Experimental Safety of the Fudan University.,"[Ethics Committee, Animal Ethics and Experimental Safety of the Fudan University]","['ORG', 'ORG']","[71, 255]","[87, 316]"
PMC8192975,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8192975\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Committee at the Calabrodental Dental Clinic (Ethical agreement number CBD-001/TRI/2020. The patients/participants provided their written informed consent to participate in this study.,[the Committee at the Calabrodental Dental Clinic (Ethical],['ORG'],[71],[128]
PMC8193032,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8193032\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by The Ethics Committee of Shandong Cancer Hospital and Institute.,[The Ethics Committee of Shandong Cancer Hospital and Institute],['ORG'],[46],[108]
PMC8193356,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8193356\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Institutional Review Board of Peking Union Medical College Hospital. All patients gave their written informed consent for participating in the present study and for the use of their data for publication.,[The Institutional Review Board of Peking Union Medical College Hospital],['ORG'],[71],[142]
PMC8193361,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8193361\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Peking Union Medical Colleague Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the ethics committee of Peking Union Medical Colleague Hospital.,"[Peking Union Medical Colleague Hospital, Peking Union Medical Colleague Hospital]","['ORG', 'ORG']","[95, 302]","[134, 341]"
PMC8200404,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8200404\sections\1_body\3_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,[],[],[],[]
PMC8204719,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8204719\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Institutional review board of the China-Japan friendship hospital. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,[the China-Japan],['ORG'],[101],[116]
PMC8206559,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8206559\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the ethics committee of Institute of Hematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Institute of Hematology, Blood Diseases Hospital, Chinese Academy of Medical Sciences]","['ORG', 'ORG', 'ORG']","[95, 123, 148]","[118, 146, 183]"
PMC8206642,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8206642\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Animal Ethics Committee of Zhejiang University.,[Animal Ethics Committee of Zhejiang University],['ORG'],[46],[92]
PMC8209326,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8209326\sections\2_back\2_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Institutional Animal Care and Use Committee of the University of Alabama at Birmingham.,"[the Institutional Animal Care and Use Committee of the University of Alabama at, Birmingham]","['ORG', 'GPE']","[46, 126]","[125, 136]"
PMC8209423,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8209423\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Institutional Animal Care and Use Committee of the Zhengzhou University.,[the Institutional Animal Care and Use Committee of the Zhengzhou University],['ORG'],[46],[121]
PMC8210776,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8210776\sections\1_body\6_ethics_statement\1_p.xml,"This study was approved by the human research ethics committee (HREC) of Royal Brisbane and Women’s Hospital (Brisbane Australia), approval number: HREC/2019/QRBW/48780, and the Queensland University of Technology (approval number: 1900000292). All documents were acknowledged by the RBWH research governance (RGO). All participant patients gave their written consent to participate in this study and blood samples were collected from patients before and after brain surgery or needle biopsy. The patients/participants provided their written informed consent to participate in this study.","[HREC, Royal Brisbane and Women’s Hospital (Brisbane Australia, HREC/2019, the Queensland University of Technology, 1900000292]","['ORG', 'ORG', 'GPE', 'ORG', 'DATE']","[64, 73, 148, 174, 232]","[68, 128, 157, 213, 242]"
PMC8212021,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8212021\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the National Bioethics committee number VSN19-189. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the National Bioethics, 189]","['ORG', 'CARDINAL']","[71, 117]","[93, 120]"
PMC8212055,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8212055\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Hunan Normal University Institutional Animal Care and Ethics Committee.,[Hunan Normal University Institutional Animal Care and Ethics Committee],['ORG'],[46],[116]
PMC8212062,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8212062\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by Laboratory Animals of the National Institutes of Health.,"[Laboratory Animals, the National Institutes of Health]","['ORG', 'ORG']","[46, 68]","[64, 101]"
PMC8212968,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8212968\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Peking University People's Hospital. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Peking University People's Hospital],['ORG'],[71],[106]
