,file,parsed,entities,labels,position_start,position_end
PMC8021916,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8021916\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by The Institutional Review Board of the Songeui Campus, The Catholic University of Korea. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.","[studies, human, participants, reviewed, Institutional Review Board, Songeui, Campus, Catholic University of Korea, Written informed consent, participation, study, national legislation, institutional requirements]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 109, 117, 129, 159, 188, 228, 257, 286]","[11, 27, 40, 54, 101, 116, 123, 157, 183, 201, 233, 277, 312]"
PMC8027113,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8027113\sections\1_body\5_ethics_statement\1_p.xml,"The study was reviewed and approved by the Regional Committees for Medical and Health Research Ethics REK Midt, ref no 136767. Written informed consent from the participants was not required in accordance with national legislation and institutional requirements.","[study, reviewed, Regional, Medical, Health Research Ethics REK, Midt, Written informed consent, participants, national legislation, institutional requirements]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 14, 43, 67, 79, 106, 127, 161, 210, 235]","[9, 22, 51, 74, 105, 110, 151, 173, 230, 261]"
PMC8039907,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8039907\sections\2_back\2_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Experimental Animal Ethics Committee of Nanjing University of Chinese Medicine.,"[animal study, reviewed, Experimental Animal Ethics Committee, Nanjing, University of Chinese Medicine]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 50, 90, 98]","[16, 29, 86, 97, 128]"
PMC8042212,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8042212\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China.","[studies, human, participants, reviewed, Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China, patients/participants, written, participate, study, animal study, reviewed, Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 113, 142, 153, 164, 201, 229, 249, 260, 277, 306, 344, 373, 384]","[11, 27, 40, 54, 111, 140, 151, 158, 185, 208, 240, 254, 272, 285, 342, 371, 382, 389]"
PMC8044745,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8044745\sections\1_body\6_ethics_statement\1_p.xml,We used an established protocol for collection of extracted teeth in our biorepository and cell isolation that was approved by the Ethics Committee of UT Health San Antonio.,"[protocol, collection, teeth, biorepository, cell isolation, Ethics Committee, UT]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[23, 36, 60, 73, 91, 131, 151]","[31, 46, 65, 86, 105, 147, 153]"
PMC8071850,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8071850\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by this research was approved by Research Ethics Committee of the Federal University of Goiás (CEP/UFG, protocol no. 2.269.572) and by the Ethics Commission for the Use of Animals of the São Paulo State University Júlio de Mesquita Filho (CEUA/UNESP, protocol no. 0004/2017).","[animal study, reviewed, research, Research Ethics Committee, Federal University of Goiás, CEP/UFG, protocol no. 2.269.572, Ethics Commission, Animals, São Paulo State University Júlio de Mesquita Filho, CEUA/UNESP, protocol]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 51, 76, 109, 138, 147, 182, 215, 230, 282, 294]","[16, 29, 59, 101, 136, 145, 169, 199, 222, 280, 292, 302]"
PMC8072473,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8072473\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the ethics committee of Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[studies, human, participants, reviewed, Tongji Hospital, Tongji Medical College, Huazhong University of Science, Technology, Written informed consent, participate, study, participants, legal guardian/next, kin]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 95, 112, 136, 171, 183, 211, 231, 257, 271, 294]","[11, 27, 40, 54, 110, 134, 166, 181, 207, 222, 236, 269, 290, 297]"
PMC8075349,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8075349\sections\1_body\6_ethics_statement\1_p.xml,"The parents gave their written informed consent for the treatment and analysis of clinical data. Ethical approval was waived by the local Ethics Committee of Wroclaw Medical University in view of the retrospective nature of the study, and all procedures being performed were part of routine care.","[parents, written, treatment, analysis, clinical data, Ethical, approval, local Ethics Committee, Wroclaw Medical University, retrospective, study, procedures, performed, routine care]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 23, 56, 70, 82, 97, 105, 132, 158, 200, 228, 243, 260, 283]","[11, 30, 65, 78, 95, 104, 113, 154, 184, 213, 233, 253, 269, 295]"
PMC8076590,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8076590\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Cincinnati Children’s Hospital Medical Center Institutional Review Board. Written informed consent from the participants’ legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements. The animal study was reviewed and approved by Cincinnati Children’s Hospital Medical Center Institutional Animal Care and Use Committee.,"[studies, human, participants, reviewed, Cincinnati Children’s Hospital Medical Center Institutional Review Board, Written informed consent, participants, legal guardian/next, kin, participate, study, national legislation, institutional requirements, animal study, reviewed, Cincinnati Children’s Hospital Medical Center, Use Committee]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 145, 179, 193, 216, 240, 260, 289, 318, 350, 367, 392, 468]","[11, 27, 40, 54, 143, 169, 191, 212, 219, 251, 265, 309, 344, 362, 375, 437, 481]"
PMC8086557,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8086557\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Newfoundland and Labrador Human Research Ethics Board #2018.210. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[studies, human, participants, reviewed, Newfoundland, Labrador Human Research Ethics Board, Written informed consent, participation, study, national legislation, institutional requirements]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 88, 136, 165, 205, 234, 263]","[11, 27, 40, 54, 83, 124, 160, 178, 210, 254, 289]"
PMC8092438,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8092438\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics committee “Catania 2”, ARNAS Garibaldi, Catania, P.zza S. M. di Gesù n. 5. The patients/participants provided their written informed consent to participate in this study.","[studies, human, participants, reviewed, Ethics committee, Catania 2”, ARNAS Garibaldi, Catania, P.zza S. M. di Gesù n., patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 89, 101, 118, 127, 157, 194, 222, 242]","[11, 27, 40, 54, 87, 99, 116, 125, 149, 178, 201, 233, 247]"
PMC8100436,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8100436\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Cangzhou Central Hospital.,"[animal study, reviewed, Cangzhou Central Hospital]","['ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 46]","[16, 29, 71]"
PMC8101326,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8101326\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Beijing Friendship Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Beijing Friendship Hospital Ethics Committee, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 121, 158, 186, 206]","[11, 27, 40, 54, 115, 142, 165, 197, 211]"
PMC8134684,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8134684\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Institutional Animal Care and Use Committee (IACUC) of Tianjin Medical University.,"[animal study, reviewed, Institutional Animal Care, Use Committee, IACUC, Tianjin Medical University]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 46, 76, 91, 101]","[16, 29, 71, 89, 96, 127]"
PMC8136432,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8136432\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,"[Ethical review, approval, study, human, participants, local, legislation, institutional requirements, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[0, 19, 53, 62, 68, 104, 110, 126, 158, 195, 223, 243]","[14, 27, 58, 67, 80, 109, 121, 152, 179, 202, 234, 248]"
PMC8138055,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8138055\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Harbin Medical University Cancer Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Harbin Medical University Cancer Hospital.,"[studies, human, participants, reviewed, Harbin Medical University Cancer Hospital, patients/participants, written, participate, study, animal study, reviewed, Harbin Medical University Cancer Hospital]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 118, 155, 183, 203, 214, 231, 256]","[11, 27, 40, 54, 112, 139, 162, 194, 208, 226, 239, 297]"
PMC8138425,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8138425\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[studies, human, participants, reviewed, Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center, Written informed consent, participate, study, participants, legal guardian/next, kin]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 129, 163, 191, 211, 237, 251, 274]","[11, 27, 40, 54, 127, 161, 187, 202, 216, 249, 270, 277]"
PMC8143974,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8143974\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the University of Pennsylvania Institutional Review Board. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements. Written informed consent was not obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[studies, human, participants, reviewed, University, Pennsylvania Institutional Review Board, Written informed consent, participation, study, national legislation, institutional requirements, Written informed consent, individual(s), publication, images, data]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 89, 130, 159, 199, 228, 257, 285, 336, 358, 402, 412]","[11, 27, 40, 54, 85, 128, 154, 172, 204, 248, 283, 309, 349, 369, 408, 416]"
PMC8149898,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8149898\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Hospital Ethics Committee of the International Peace Maternity Child Health Hospital of China Welfare Institute (IPMCH). The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Hospital Ethics Committee, International Peace Maternity Child Health Hospital, China Welfare Institute, IPMCH, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 108, 163, 188, 200, 237, 265, 285]","[11, 27, 40, 54, 100, 159, 186, 193, 221, 244, 276, 290]"
PMC8171186,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8171186\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics Committee of The Affiliated Drum Tower Hospital, Medical School of Nanjing University. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Committee of Experimental Animal Administration of The Affiliated Drum Tower Hospital, Medical School of Nanjing University.","[studies, human, participants, reviewed, Ethics Committee, Affiliated Drum Tower Hospital, Medical School, University, patients/participants, written, participate, study, animal study, reviewed, Committee, Experimental, Animal Administration, Affiliated Drum Tower Hospital, Medical School, University]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 95, 127, 153, 169, 206, 234, 254, 265, 282, 307, 320, 333, 362, 394, 420]","[11, 27, 40, 54, 87, 125, 141, 163, 190, 213, 245, 259, 277, 290, 316, 332, 354, 392, 408, 430]"
PMC8175661,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8175661\sections\1_body\5_ethics_statement\1_p.xml,Approval for hESC work was obtained from the ISCIII-Comisión Nacional de Garantías (0336E/14973/2017).,"[Approval, hESC, ISCIII-Comisión, Nacional de Garantías]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[0, 13, 45, 61]","[8, 17, 60, 82]"
PMC8176860,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8176860\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of First People’s Hospital of Huzhou. The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Ethics committee, First People’s Hospital, Huzhou, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 91, 118, 130, 167, 195, 215]","[11, 27, 40, 54, 87, 114, 124, 151, 174, 206, 220]"
PMC8180599,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8180599\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IRAS. The ethics committee waived the requirement of written informed consent for participation.,"[studies, human, participants, reviewed, IRAS, committee, requirement, written informed consent, participation]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 88, 109, 124, 153]","[11, 27, 40, 54, 75, 97, 120, 148, 166]"
PMC8183571,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8183571\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Huadong hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Animal Ethics and Experimental Safety of the Fudan University.,"[studies, human, participants, reviewed, Ethics Committee, Huadong hospital, patients/participants, written, participate, study, animal study, reviewed, Animal Ethics, Experimental Safety, Fudan University]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 95, 117, 154, 182, 202, 213, 230, 255, 273, 300]","[11, 27, 40, 54, 87, 111, 138, 161, 193, 207, 225, 238, 268, 292, 316]"
PMC8192975,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8192975\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Committee at the Calabrodental Dental Clinic (Ethical agreement number CBD-001/TRI/2020. The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Committee, Calabrodental Dental Clinic, Ethical agreement number, CBD-001/TRI/2020, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 92, 121, 146, 168, 205, 233, 253]","[11, 27, 40, 54, 84, 119, 145, 162, 189, 212, 244, 258]"
PMC8193032,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8193032\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by The Ethics Committee of Shandong Cancer Hospital and Institute.,"[animal study, reviewed, Ethics Committee of Shandong Cancer, Institute]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 50, 99]","[16, 29, 85, 108]"
PMC8193356,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8193356\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Institutional Review Board of Peking Union Medical College Hospital. All patients gave their written informed consent for participating in the present study and for the use of their data for publication.,"[studies, human, participants, reviewed, Institutional Review Board, Peking Union Medical College Hospital, patients, written, participating, study, data, publication]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 105, 148, 168, 197, 226, 257, 266]","[11, 27, 40, 54, 101, 142, 156, 175, 210, 231, 261, 277]"
