,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
2928,C:\Users\shweata\ethics_statement_corpus_1000\PMC7807253\sections\1_body\2_materials_and_methods\1_participants\1_p.xml,"This case-control study involved 73 type 2 diabetic individuals who had an age of onset > 18 years and 24 healthy volunteers. Type 2 diabetes was diagnosed based on the 1999 World Health Organization criteria. The exclusion criteria were as follows: (1) Presence of acute complications of diabetes, such as diabetic ketosis, lactic acidosis, hyperglycemia, or hyperosmolarity; (2) Presence of comorbid thyroid disease, adrenal disease, or other endocrine diseases; (3) Diagnosis with osteoporosis; (4) Presence of serious heart, liver, lung, hematological system, autoimmune, neoplastic, or acute cardiovascular diseases; (5) Presence of operation or acute infection; and (6) Presence of other systemic diseases that can induce proteinuria. The study was approved by the Medical Ethics Committee of the Affiliated Hospital of Weifang Medical University. In addition, informed consent was obtained from all individuals. The individuals with diabetes were categorized into normal albuminuria group urine albumin creatinine ratios (UACR) < 30 mg/g, microalbuminuria group (UACR, 30–300 mg/g), and macroalbuminuria group (UACR, > 300 mg/g). Twenty-four healthy volunteers were included in a control group.",The study was approved by the Medical Ethics Committee of the Affiliated Hospital of Weifang Medical University.,"the Medical Ethics Committee, the Affiliated Hospital of Weifang Medical University","ORG, ORG","26, 58","54, 111",ethics committee of ,1
2996,C:\Users\shweata\ethics_statement_corpus_1000\PMC7807297\sections\1_body\2_materials_and_methods\1_study_design\1_p.xml,"This 1:1 randomized, controlled, double-blind clinical trial was conducted at the emergency ward of a tertiary teaching hospital with 5186 beds in China from July 2017 to July 2019. The study protocol was defined in accordance with the declaration of Helsinki and was approved by the Ethics Committee of our institution. The trial was registered in the Chinese Clinical Trial Registry (ChiCTR2000030425) and is reported in accordance with the CONSORT guidelines. All patients provided written informed consent before study participation. All study authors had access to the data and approved the final manuscript.",The study protocol was defined in accordance with the declaration of Helsinki and was approved by the Ethics Committee of our institution.,"Helsinki, the Ethics Committee","GPE, ORG","69, 98","77, 118",ethics committee of ,1
3318,C:\Users\shweata\ethics_statement_corpus_1000\PMC7812895\sections\1_body\2_materials_and_methods\1_participants\1_p.xml,"The data analyzed in this study were from January 2017 to December 2019, and included 172 patients with UC and 172 healthy controls from Huaian No. 1 People’s Hospital. Data on sex, age, duration of illness, frequency of defecation, stool consistency, pulse, and body temperature were extracted from the medical record. The diagnosis of UC was based on consensus for the diagnosis and treatment of IBD as the UC group. Participants with hematological disease, liver, and kidney damage, tumors, certain forms of autoimmune diseases, and infections were excluded. The study was approved by the medical ethics committee of The Affiliated Huai’an No. 1 People’s Hospital of Nanjing Medical University Institutional. Informed consent was waived in this retrospective study.",The study was approved by the medical ethics committee of The Affiliated Huai’an No.,The Affiliated Huai’an,ORG,58,80,ethics committee of ,1
3527,C:\Users\shweata\ethics_statement_corpus_1000\PMC7823693\sections\1_body\3_4__materials_and_methods\1_4_1__ethics_approval_and_\1_p.xml,"This study was conducted in accordance with the relevant legislation and approved by the Ethics Committee of Seoul St. Mary’s Hospital, Seoul, Korea (KC18DESI0739) and complied with the Declaration of Helsinki and Good Clinical Practice guidelines. Informed consent was obtained from all participants included in the study.","This study was conducted in accordance with the relevant legislation and approved by the Ethics Committee of Seoul St. Mary’s Hospital, Seoul, Korea (KC18DESI0739) and complied with the Declaration of Helsinki and Good Clinical Practice guidelines.","the Ethics Committee of Seoul St. Mary’s Hospital, Seoul, Korea, KC18DESI0739","ORG, GPE, GPE, ORG","85, 136, 143, 150","134, 141, 148, 162",ethics committee of ,1
3602,C:\Users\shweata\ethics_statement_corpus_1000\PMC7823813\sections\1_body\1_2__materials_and_methods\2_2_2__ethics_approval\1_p.xml,"This study did not contradict the principles of the Declaration of Helsinki. The study protocol was approved by the Local Ethics Committee of the Asfendiyarov Kazakh National Medical University (No3 (80), 27 February 2019). Written informed consent was obtained from the parents of each participant.","The study protocol was approved by the Local Ethics Committee of the Asfendiyarov Kazakh National Medical University (No3 (80), 27 February 2019).","the Local Ethics Committee, Kazakh National Medical University","ORG, ORG","35, 82","61, 116",ethics committee of ,1
3671,C:\Users\shweata\ethics_statement_corpus_1000\PMC7824069\sections\1_body\1_2__methods\5_2_5__ethics_statement\1_p.xml,"All procedures applied in the study were in accordance with international guidelines, with the standards on human experimentation of the local ethics committees, and with the Helsinki Declaration of 1975 and its later amendments. This study was approved by the Ethics Committee of the Azienda Ospedaliera Universitaria of the University of Campania Luigi Vanvitelli (481/2018). All patients provided their informed consent to participate in the study.",This study was approved by the Ethics Committee of the Azienda Ospedaliera Universitaria of the University of Campania Luigi Vanvitelli (481/2018).,"the Ethics Committee, the Azienda Ospedaliera Universitaria, the University of Campania Luigi Vanvitelli","ORG, ORG, ORG","27, 51, 92","47, 88, 135",ethics committee of ,1
3778,C:\Users\shweata\ethics_statement_corpus_1000\PMC7825569\sections\1_body\1_2__materials_and_methods\3_2_3__ethics_approval\1_p.xml,"This study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of Avicenne Hospital, France (Project identification code: 95/99/AVC/ESA).","This study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of Avicenne Hospital, France (Project identification code: 95/99/AVC/ESA).","the Ethics Committee of Avicenne Hospital, France, Project, ESA","ORG, GPE, ORG, ORG","106, 149, 157, 196","147, 155, 164, 199",ethics committee of ,1
3881,C:\Users\shweata\ethics_statement_corpus_1000\PMC7827861\sections\1_body\3_4__materials_and_methods\6_4_2__ethics_statement\1_p.xml,"This study adhered to the tenets of the Declaration of Helsinki. This was a retrospective, single center study, and the procedures used were approved by the Ethics Committee of the Nihon University Hospital, Tokyo, Japan. (Approval No.20181205).","This was a retrospective, single center study, and the procedures used were approved by the Ethics Committee of the Nihon University Hospital, Tokyo, Japan.","the Ethics Committee of, the Nihon University Hospital, Tokyo, Japan","ORG, ORG, GPE, GPE","88, 112, 143, 150","111, 141, 148, 155",ethics committee of ,1
4332,C:\Users\shweata\ethics_statement_corpus_1000\PMC7838880\sections\1_body\1_2__materials_and_methods\3_2_3__ethical_declaration\1_p.xml,The study was evaluated and approved by the Life Sciences and Health of Côte d’Ivoire (N/Réf:078-19/MSHP/CNESVS-kp) and the Ethics Committee of the School of Tropical Medicine and Global Health of Nagasaki University (NU_TMGH_2019-097-0). Written informed consent and assents were obtained from the study participants and their guardians.,The study was evaluated and approved by the Life Sciences and Health of Côte d’Ivoire (N/Réf:078-19/MSHP/CNESVS-kp) and the Ethics Committee of the School of Tropical Medicine and Global Health of Nagasaki University (NU_TMGH_2019-097-0).,"the Life Sciences and Health of Côte d’Ivoire, N/Réf:078-19/MSHP/CNESVS-kp, the Ethics Committee of the School of Tropical Medicine, Global Health of","ORG, ORG, ORG, ORG","40, 87, 120, 180","85, 114, 175, 196",ethics committee of ,1
4760,C:\Users\shweata\ethics_statement_corpus_1000\PMC7850417\sections\1_body\2_methods\3_research_ethics\1_p.xml,The study was approved by Regional Ethics Committee of Southern and Eastern Norway (REC number 2014/372) and complies with the principles of the Helsinki Declaration.,The study was approved by Regional Ethics Committee of Southern and Eastern Norway (REC number 2014/372) and complies with the principles of the Helsinki Declaration.,"Regional Ethics Committee of Southern, Eastern Norway, REC","ORG, GPE, ORG","26, 68, 84","63, 82, 87",ethics committee of ,1
4904,C:\Users\shweata\ethics_statement_corpus_1000\PMC7852640\sections\1_body\2_materials_and_methods\1_general_materials\1_p.xml,"The follow-up data of 32 singleton fetuses with CCAM and 14 with BPS diagnosed by prenatal MRI at Huzhou Maternity & Child Health Care Hospital and Anhui Provincial Children’s Hospital from January 2017 to January 2020 were collected. All fetuses were born smoothly and accepted prenatal MRI examination within 24-48 h after prenatal ultrasonography. This study was approved by the Ethics Committee of Huzhou Maternity & Child Health Care Hospital and Anhui Provincial Children’s Hospital, and all pregnant women voluntarily signed an informed consent form prior to examination.","This study was approved by the Ethics Committee of Huzhou Maternity & Child Health Care Hospital and Anhui Provincial Children’s Hospital, and all pregnant women voluntarily signed an informed consent form prior to examination.","the Ethics Committee of Huzhou Maternity & Child Health Care Hospital, Anhui Provincial Children’s Hospital","ORG, ORG","27, 101","96, 137",ethics committee of ,1
5427,C:\Users\shweata\ethics_statement_corpus_1000\PMC7864463\sections\1_body\1_materials_and_methods\1_study_population_and_data\1_p.xml,"Data of patients who were admitted to the University of Tokyo Hospital between January 1, 2009 and December 26, 2017 were used in this study. The study was approved by the research ethics committee of the Graduate School of Medicine and Faculty of Medicine of the University of Tokyo. At this time, the data used in this study was not openly available due to the restriction imposed by the research ethics committee (Office for Human Research Studies (OHRS); Graduate School of Medicine and Faculty of Medicine, The University of Tokyo, Faculty of Medicine Bldg. 2 4F, 7-3-1, Hongo, Bunkyo-ku, Tokyo, 113–0033, JAPAN,  https://u-tokyo-ohrs.jp/en/). For this study, the total number of patients was 80,729, and the total number of admission cases was 173,578. Admission laboratory data were defined as the data of the sample collection times closest to that of the hospitalization decision order within six hours before and after the hospitalization decision order was given. These data were extracted from HL7 message documents maintained in de-identified SS-MIX2 standardized storage  17 using Python (version 3.6.8) scripts with respect to each admission case. After data extraction, admission data with transcription errors of the time of admission were excluded. The data were then divided into a training/validation data set and a test data set depending on the time of admission (training/validation data set: n = 134,961, between January 1, 2009 and December 31, 2015; test data set: n = 38,616, between January 1, 2016 and December 26, 2017). Admission cases under 18 years of age were excluded from both data sets, while the admission cases of those 18 years of age or older were defined as eligible cases for the analysis as shown in  Fig 1. Variables with > 25% missing data or variables not suitable for developing the prediction model in the training/validation set were also excluded from the analysis. The anonymous patient’s ID, hospitalization time, and alkaline phosphatase value displayed in King-Armstrong unit were excluded from the remaining variables. Because alkaline phosphatase values in IU/l were included in the data, we removed the values with King-Armstrong unit. Ultimately, 25 variables, specifically, age, sex, 21 laboratory variables, length of stay, and mortality, were considered eligible for analysis. Subsequently, cases that were missing all variables of eligible laboratory data were excluded. Finally, a training/validation data set (n = 119,160) and a test data set (n = 33,970) were obtained.",The study was approved by the research ethics committee of the Graduate School of Medicine and Faculty of Medicine of the University of Tokyo.,the Graduate School of Medicine and Faculty of Medicine of the University of Tokyo,ORG,59,141,ethics committee of ,1
5843,C:\Users\shweata\ethics_statement_corpus_1000\PMC7874660\sections\1_body\1_methods\1_p.xml,"This was an investigator-initiated, prospective, international dual-center survey study. Using both qualitative and quantitative research methods, we explored the challenges anesthesiologists face in the treatment of acute bleeding. We included participants at the University Hospital Zurich, Switzerland, and the Italian Hospital of Buenos Aires in Argentina. These tertiary referral hospitals are regularly confronted with bleeding situations and therefore both have considerable experience in coagulation management. The Cantonal Ethics Committee of Zurich in Switzerland reviewed the study protocol and issued a declaration of no objection (Business Management System for Ethics Committees Number 2019–01090). The ethics committee responsible for the center in Buenos Aires approved the study protocol in a separate statement (N° 5357, dated November 14th, 2019). Before participation, we obtained written informed consent from each physician to use the collected data for research purposes.",The Cantonal Ethics Committee of Zurich in Switzerland reviewed the study protocol and issued a declaration of no objection (Business Management System for Ethics Committees Number 2019–01090).,"The Cantonal Ethics Committee of Zurich, Switzerland, Business Management System for","ORG, GPE, ORG","0, 43, 125","39, 54, 155",ethics committee of ,1
6095,C:\Users\shweata\ethics_statement_corpus_1000\PMC7877918\sections\1_body\1_materials_and_methods\1_p.xml,"We used the data of cardiac ultrasound measurements of the on-going multicenter study – the Cardiovascular Risk in Young Finns Study  14. The Cardiovascular Risk in Young Finns Study was initiated in 1980 when participants were randomly recruited to six age cohorts of (3, 6, 9, 12, 15, and 18 years) from the national registry. Data on cardiovascular risk factors (anthropometric data, including BMI, physiological measurements such as blood pressure, biochemical measurements) were recorded. Physical activity and alcohol consumption (standard drinks/day) were collected using validated questionnaires. For additional information on the physical activity questionnaire, please see the online supplement. Follow-ups were performed in 3-year intervals until 1992 (1980, 1983, 986, 1989, and 1992), and additional follow-ups with more extensive measurements were organised in 2001 and 2007 ( Figure 1)  15. In the year 2011, echocardiography was performed for 1994 participants (914 men and 1080 women, mean age 41.9 ± 5.0 years). After excluding 11 women due to pregnancy at the time of cardiac ultrasound, participants with insufficient longitudinal data for BMI, SBP, and cardiac ultrasound measurements, the study population of the present study consisted of  n = 1864 participants. Participants who were lost to follow-up between 1980 and 2011 were more often men (51% vs. 43%,  p < 0.001), but there were no statistically significant ( p > 0.05) differences between participants and non-participants in baseline age, BMI, or blood pressure values among men or women. By 2011, 93 of the original participants had died, with only 14.0% ( n = 13) of the deaths attributable to cardiovascular causes. The study protocol conforms to the ethical guidelines of the 1975 Declaration of Helsinki and is approved by the ethics committee of the University of Turku. Informed consent was obtained from all participants. Specific details of the methodology have been described earlier  14, 15.",The study protocol conforms to the ethical guidelines of the 1975 Declaration of Helsinki and is approved by the ethics committee of the University of Turku.,the University of Turku,ORG,133,156,ethics committee of ,1
