,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7527666\sections\1_body\1_methods\2_p.xml,Written consent was taken before starting the study and also before bronchoscopy according to the guidelines of the ethics committee of Alexandria faculty of medicine.,['ethics committee of'],1,['Written consent was taken before starting the study and also before bronchoscopy according to the guidelines of the ethics committee of Alexandria faculty of medicine.'],[[]],[[]],[[]],[[]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7531137\sections\1_body\1_methods\3_animal_care\1_p.xml,"Animals were housed in Micro-Isolator cages on a layer of wood shavings at a temperature of 22 °C, under a fixed 12/12-h light/dark cycle. All studies were performed in accordance with the guidelines established by the Tokushima University committee on animal care and use. All experimental protocols were reviewed and approved by the IACUC of the Tokushima University, Japan (T2019-8).",['IACUC of'],1,"['All experimental protocols were reviewed and approved by the IACUC of the Tokushima University, Japan (T2019-8).']","[[the Tokushima University, Japan]]","[['ORG', 'GPE']]","[[70, 96]]","[[94, 101]]",[['IACUC of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7531137\sections\2_back\6_notes.xml," Ethics approval and consent to participate  All studies were performed in accordance with the guidelines established by the Tokushima University committee on animal care and use. All experimental protocols were reviewed and approved by the IACUC of the Tokushima University, Japan (T2019-8). ",['IACUC of'],1,"['All experimental protocols were reviewed and approved by the IACUC of the Tokushima University, Japan (T2019-8).']","[[the Tokushima University, Japan]]","[['ORG', 'GPE']]","[[70, 96]]","[[94, 101]]",[['IACUC of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7552894\sections\1_body\1_material_and_methods\1_study_design\1_p.xml,"This is a preliminary randomized, open-label, parallel controlled phase I clinical trial that was conducted at the Fifth Medical Center of Chinese PLA General Hospital from January 2015 to December 2017 (ChiCTR-TRC-12003518). The study protocol and procedures were in line with the Helsinki Declaration and were approved by the Ethics Committee of the Fifth Medical Center of Chinese PLA General Hospital. Formal written informed consent was obtained from each patient.",['Ethics Committee of'],1,['The study protocol and procedures were in line with the Helsinki Declaration and were approved by the Ethics Committee of the Fifth Medical Center of Chinese PLA General Hospital.'],"[[the Ethics Committee, the Fifth Medical Center of Chinese PLA General Hospital]]","[['ORG', 'ORG']]","[[98, 122]]","[[118, 178]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7555779\sections\1_body\4_5__materials_and_methods\8_5_8__ethics_statement\1_p.xml,"The protocol was approved by the Ethics Committee of the IRB Committee, Saitama Medical University International Medical Center. Approval numbers are (18–149) and (19–115). The approval dates are (08-09-18) and (04-09-19).",['Ethics Committee of'],1,"['The protocol was approved by the Ethics Committee of the IRB Committee, Saitama Medical University International Medical Center.']","[[the Ethics Committee, the IRB Committee, Saitama Medical University International Medical Center]]","[['ORG', 'ORG', 'ORG']]","[[29, 53, 72]]","[[49, 70, 127]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7564264\sections\1_body\1_2__materials_and_methods\1_p.xml,"All the experiments were institutionally approved by the Ethical Committee of Medical Faculty, University of Leipzig (427/16-ek). Experimental procedures were performed according to the International Society for Stem Cell Research (ISSCR) guidelines. Human hair follicles were plucked from 5 healthy 20–48 years old donors (  n  = 5) in 2 hair-plucking sessions, yielding 60 anagen hairs per session. The samples of each donor were used to perform 3 independent biological experiments in 3 technical replicates. Adipose tissue was obtained from donors (  n  = 5) who underwent general trauma surgery at the Department of Dermatology, Venerology and Allergology at the Leipzig University Clinic. Written informed consent was obtained from all donors. For samples from each donor, the following experiments were replicated 3 times with 3 experimental repetitions.",['Ethical Committee of'],1,"['All the experiments were institutionally approved by the Ethical Committee of Medical Faculty, University of Leipzig (427/16-ek).']","[[the Ethical Committee of Medical Faculty, University of Leipzig]]",[['ORG']],[[53]],[[116]],[['Ethical Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7572359\sections\1_body\3_methods\1_human_fetal_pituitary_dis\1_p.xml,"The donors in this study were pregnant women who could not continue pregnancy because of their own diseases (such as cervical insufficiency, inevitable abortion, infection, eclampsia, as examples). All patients voluntarily donated the fetal tissues and signed informed consents. This study was approved by the Reproductive Study Ethics Committee of Peking University Third Hospital (2017SZ-043).",['Ethics Committee of'],1,['This study was approved by the Reproductive Study Ethics Committee of Peking University Third Hospital (2017SZ-043).'],[[the Reproductive Study Ethics Committee of Peking University Third Hospital]],[['ORG']],[[27]],[[102]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7588063\sections\1_body\1_materials_and_methods\1_cell_culture\1_p.xml,"All procedures were performed in accordance with the guidelines of the Committee for the Ethics on Experiments with Human Derivative Samples of the National Institute of Advanced Industrial Science and Technology (AIST) (Approval Number: 2014–169), and the Clinical Research Committee at the University of Tsukuba Hospital (Approval Number: H25-144). The human iPSC experiments were also approved by the Ethics Committee of AIST.",['Ethics Committee of'],1,['The human iPSC experiments were also approved by the Ethics Committee of AIST.'],[[the Ethics Committee]],[['ORG']],[[49]],[[69]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7590053\sections\1_body\3_4__materials_and_methods_\10_4_10__transplantation_of_\1_p.xml,"A mouse calvarial defect model was used for animal experiments, following the guidelines of the Animal Care and Use committee of the Faculty of Medicine, Tokyo Medical University (approval No. R2-0063). We used 7-week-old male NOD.CB17-Prkdc  scid /J (NOD SCID) mice (Oriental Yeast, Tokyo, Japan). The mice were anesthetized with medetomidine (0.75 mg/kg), midazolam (4.0 mg/kg), and butorphanol tartrate (5.0 mg/mL) via intraperitoneal injection. The calvaria were exposed after skin and muscle layer incision. Defects with a diameter of 3.5 mm were created using biopsy punches (Kai Corporation, Tokyo, Japan) in the right parietal bone. Young and elderly DPSCs were cultured on 12-well temperature-responsive dishes (Upcell, CellSeed) at a density of 1 × 10  4  cells in OM with TH treatment for 14 days. To harvest cell sheets, we placed dishes at 20 °C for 30 min. Each sheet was transplanted into the calvarial defects carefully. Skin was closed with 6–0 nylon sutures. Four mice were used in each experimental group, consisting of the young DPSCs, elderly DPSCs, and control. For the control group, we only created defects, and nothing was transplanted. Eight weeks after transplantation, we sacrificed the mice and harvested the calvaria.",['Animal Care and Use committee of'],1,"['A mouse calvarial defect model was used for animal experiments, following the guidelines of the Animal Care and Use committee of the Faculty of Medicine, Tokyo Medical University (approval No. R2-0063).']","[[the Faculty of Medicine, Tokyo Medical University]]","[['ORG', 'ORG']]","[[129, 154]]","[[152, 178]]",[['Animal Care and Use committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7590053\sections\1_body\3_4__materials_and_methods_\1_4_1__isolation_of_dental_\1_p.xml,"Human dental pulp stem cells were isolated from extracted teeth from 4 young (16–18 years old) and 4 elderly (41–54 years old) patients in good health (hereafter referred to as “young DPSCs” and “elderly DPSCs”, respectively)—after obtaining informed consent—at Tokyo Medical University Hospital. This study was approved by the institutional ethics committee of the Faculty of Medicine, Tokyo Medical University, Japan (approval No. 3486, approved on 4 October 2016). Dental pulp was extracted and minced into small pieces, followed by enzymatic digestion using 3 mg/mL collagenase type I (Sigma-Aldrich, St Louis, MO, USA) for 45 min at 37 °C; single-cell suspensions were obtained by passing the cells through a 70 µm cell strainer. The isolated cells were plated at a density of 1 × 10  5  cells on 100 mm dishes and cultured in alpha-modified Eagle’s medium (αMEM; Gibco/BRL) supplemented with 15% fetal bovine serum (FBS; Biowest, Nuaillé, France) and 1% penicillin/streptomycin (P/S; Wako Pure Chemical Industries, Osaka, Japan). Cells were passaged at 70% confluence. Young and elderly DPSCs in passage 3 (P3) or P4 were used for experiments. Dental pulp stem cells were cultured in 12-well plates containing osteogenic differentiation media with and without TH. We used αMEM supplemented with 10% FBS, 1% P/S, and 10 nM dexamethasone (Wako Pure Chemical Industries) for osteogenic induction (osteogenic medium (OM)). We added TH (Takeda Chemical Industries, Osaka, Japan) at the optimal concentration of 10  −6  M to the OM, as described previously [  15 ].",['ethics committee of'],1,"['This study was approved by the institutional ethics committee of the Faculty of Medicine, Tokyo Medical University, Japan (approval']","[[the Faculty of Medicine, Tokyo Medical University, Japan]]","[['ORG', 'ORG', 'GPE']]","[[65, 90, 116]]","[[88, 114, 121]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7596445\sections\1_body\2_materials_and_methods\1_animals_\1_p.xml,"Three male Bama miniature pigs weighing 6 kg were purchased from the Animal Experiment Center of Sichuan University (Chengdu, China). Six male Sprague-Dawley (SD) rats were purchased from Dashuo Biotechnology (Chengdu, China). All animals were housed in singular standard cages in an air-conditioned room (21-25 °C), with a 12 h light/dark cycle. All experimental protocols were approved by the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University (IACUC protocol number: [2020007A]). All animals were cared for in accordance with the requirements of the Laboratory Animal Welfare Act and amendments.","['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']",2,['All experimental protocols were approved by the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University (IACUC protocol number:'],[[the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University]],[['ORG']],[[44]],[[141]],"[['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7596445\sections\2_back\0_fn-group.xml,"  Institutional animal care and use committee statement: All procedures involving animals were reviewed and approved by the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University (IACUC protocol number: [2020007A]).    Conflict-of-interest statement: All the authors have nothing to disclose.     ARRIVE guidelines statement: The authors have read the ARRIVE guidelines, and the manuscript was prepared and revised according to the ARRIVE guidelines.    Manuscript source: Invited manuscript    Peer-review started: February 29, 2020    First decision: April 25, 2020    Article in press: August 1, 2020    Specialty type: Engineering, Biomedical    Country/Territory of origin: China    Peer-review report’s scientific quality classification    Grade A (Excellent): 0    Grade B (Very good): B    Grade C (Good): 0    Grade D (Fair): 0    Grade E (Poor): 0    P-Reviewer: Murray P S-Editor: Ma YJ L-Editor: Wang TQ P-Editor: Xing YX  ","['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']",2,['Institutional animal care and use committee statement: All procedures involving animals were reviewed and approved by the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University (IACUC protocol number: [2020007A]).'],[[the Institutional Animal Care and Use Committee of Animal Experiment Center of Sichuan University]],[['ORG']],[[118]],[[215]],"[['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7641163\sections\1_body\1_materials_and_methods\1_ethical_approval\1_p.xml,"The ethics committee of Assiut University, and veterinary authorities in Assiut province, Egypt approved the method of the work. ""All methods were performed in accordance with the relevant guidelines and regulations"".",['ethics committee of'],1,"['The ethics committee of Assiut University, and veterinary authorities in Assiut province, Egypt approved the method of the work.']","[[Assiut University, Assiut, Egypt]]","[['ORG', 'ORG', 'GPE']]","[[24, 73, 90]]","[[41, 79, 95]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7641632\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Ethics Committee of Tohoku University in accordance with the Guide for the Care and Use of Laboratory Animals (approval identification numbers 2015DnA-022 and 2018DnA-002).,['Ethics Committee of'],1,['The animal study was reviewed and approved by Ethics Committee of Tohoku University in accordance with the Guide for the Care and Use of Laboratory Animals (approval identification numbers 2015DnA-022 and 2018DnA-002).'],"[[Ethics Committee of Tohoku University, the Guide for the Care and Use of Laboratory Animals]]","[['ORG', 'ORG']]","[[46, 103]]","[[83, 155]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7666625\sections\1_body\1_2__methods\1_2_1__ethical_approval_sta\1_p.xml,"This investigation was performed in accordance with relevant guidelines and regulations on animal studies, and all experimental protocols were approved by the ethical committee of Bushehr University of Medical Sciences (Permission number: IR.BPUMS.REC.1399.084).",['ethical committee of'],1,"['This investigation was performed in accordance with relevant guidelines and regulations on animal studies, and all experimental protocols were approved by the ethical committee of Bushehr University of Medical Sciences (Permission number: IR.BPUMS.REC.1399.084).']","[[Bushehr University of Medical Sciences (Permission, IR.BPUMS.REC.1399.084]]","[['ORG', 'ORG']]","[[180, 239]]","[[230, 260]]",[['ethical committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7666625\sections\2_back\3_ethical_approval\1_p.xml,"This investigation was performed in accordance with relevant guidelines and regulations on animal studies, and all experimental protocols were approved by the ethical committee of Bushehr University of Medical Sciences (Permission number: IR.BPUMS.REC.1399.073).",['ethical committee of'],1,"['This investigation was performed in accordance with relevant guidelines and regulations on animal studies, and all experimental protocols were approved by the ethical committee of Bushehr University of Medical Sciences (Permission number: IR.BPUMS.REC.1399.073).']","[[Bushehr University of Medical Sciences (Permission, IR.BPUMS.REC.1399.073]]","[['ORG', 'ORG']]","[[180, 239]]","[[230, 260]]",[['ethical committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7667208\sections\1_body\1_materials_and_methods\4_ethical_considerations\1_p.xml,The experiment was performed under the principles of laboratory animal handling and complied with the provision of the “European Convention for the Protection of Vertebral Animals Used for Experimental and Other Scientific Purposes. CETS 123.” This study was approved at the meeting of the Regional Ethics Committee of the Kursk State Medical University under the Ministry of Health of the Russian Federation (Protocol No. 5 dated 02.11.17).,['Ethics Committee of'],1,['This study was approved at the meeting of the Regional Ethics Committee of the Kursk State Medical University under the Ministry of Health of the Russian Federation (Protocol No. 5 dated 02.11.17).'],"[[the Regional Ethics Committee, the Kursk State Medical University, the Ministry of Health of the Russian Federation]]","[['ORG', 'ORG', 'ORG']]","[[42, 75, 116]]","[[71, 109, 164]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7667208\sections\1_body\1_materials_and_methods\4_ethical_considerations\2_p.xml,"MSCs from human umbilical cord: The study complies with the requirements of the Russian Federation in terms of purity of the cellular material and ethical standards. The MSCs used in the experiment were isolated from a human umbilical cord under ethical principles with the informed consent of the donor. The use of MSCs from the human umbilical cord for experimental studies on animals was approved by the local ethical committee of the Institute of Plastic Surgery and Cosmetology (Protocol No. 03/1 dated January 29, 2020).",['ethical committee of'],1,['The use of MSCs from the human umbilical cord for experimental studies on animals was approved by the local ethical committee of the Institute of Plastic Surgery and Cosmetology (Protocol No.'],"[[the Institute of Plastic Surgery, Cosmetology]]","[['ORG', 'ORG']]","[[129, 166]]","[[161, 177]]",[['ethical committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7667734\sections\2_back\6_notes.xml, Ethics approval and consent to participate  Human pancreata were obtained from patients in the Chinese PLA General Hospital with patient consent. The study was approved by the academic committee of the Institute of Health Service and Transfusion Medicine and the ethics committee of the PLA General Hospital. ,['ethics committee of'],1,['The study was approved by the academic committee of the Institute of Health Service and Transfusion Medicine and the ethics committee of the PLA General Hospital.'],"[[the Institute of Health Service and Transfusion Medicine, the PLA General Hospital]]","[['ORG', 'ORG']]","[[52, 137]]","[[108, 161]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7673328\sections\1_body\1_materials_and_methods\1_\1_animals\1_p.xml,"Sprague-Dawley female rats (age, 9 weeks; weight 180–220 g) were purchased from Shanghai SLAC Laboratory Animal Co., Ltd. All rats were housed under specific pathogen-free conditions with a 12-h day/night cycle, and   ad libitum  access to food and water. All animals were maintained at a temperature of 22±1°C and humidity of 55±5%. All the experimental operations for rats conformed to the Guide for the Care and Use of Laboratory Animals (  19 ). This study was approved by the ethics committee of the People's Hospital of Wuhan University. A total of 55 rats were used, of which five rats were used in the preliminary experiments, and 50 rats were used in the current study.",['ethics committee of'],1,"[""This study was approved by the ethics committee of the People's Hospital of Wuhan University.""]",[[the People's Hospital of Wuhan University]],[['ORG']],[[51]],[[92]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7673328\sections\2_back\4_ethics_approval_and_conse\1_p.xml,The experimental protocol used in this study was approved by the Animal Care and Use Committee of the People's Hospital of Wuhan University.,['Animal Care and Use Committee of'],1,"[""The experimental protocol used in this study was approved by the Animal Care and Use Committee of the People's Hospital of Wuhan University.""]",[[Wuhan University]],[['ORG']],[[123]],[[139]],[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7678627\sections\2_back\4_ethics_approval_and_conse\1_p.xml,"The present study was reviewed and approved by the Institutional Review Board of Seoul St. Mary's Hospital, College of Medicine, the Catholic University of Korea (approval no. KC20SISE0703). Informed consent was obtained from all participants. All experiments were performed in accordance with relevant guidelines and regulations specified in the Declaration of Helsinki.",['Institutional Review Board of'],1,"[""The present study was reviewed and approved by the Institutional Review Board of Seoul St. Mary's Hospital, College of Medicine, the Catholic University of Korea (approval no.""]","[[the Institutional Review Board of Seoul St. Mary's Hospital, College of Medicine, the Catholic University of Korea]]","[['ORG', 'ORG']]","[[47, 129]]","[[127, 161]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7691859\sections\1_body\1_materials_and_methods\1_isolation_of_adipose_deri\1_p.xml,"The procedure of isolation fats and cells from C57BL/6 mice has been approved by the Ethics Committee of Dalian University of Technology. ADSCs were isolated from the abdominal fats of C57BL/6 mice. The abdominal fats were harvested and washed with D-Hank’s buffer to remove red blood cells, and then cut into tiny pieces at room temperature (RT) with the fur and any blood vessels dissected away. The pieces were incubated in digestion buffer (0.1% collagenase type 1 in Hank’s buffer) at 37℃ with shaking at 120 rpm for 1.5 hrs. Then the digested solution was filtered with 70  μ m cell strainers to remove undigested fragments and ADSCs were collected by centrifugation at 600 g for 15 min, and then transferred to 75 cm  2  culture flasks (Corning) with DMEM/F12 complete medium, containing 10% fetal bovine serum (FBS), 1% Penicillin-Stretomycin-Amphotericin B (PSA) and 1% L-Glutamine. Culture medium was replaced every 2∼3 days, and cells were routinely passaged when they reached 80% confluence. ADSCs passages 4∼6 were used for different experiments.",['Ethics Committee of'],1,['The procedure of isolation fats and cells from C57BL/6 mice has been approved by the Ethics Committee of Dalian University of Technology.'],[[the Ethics Committee of Dalian University of Technology]],[['ORG']],[[81]],[[136]],[['Ethics Committee of']]
