,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
32,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\7_genome-wide_identification_and\2_fig.xml,"FIGURE 5Analysis of terpene synthases genes. (A) Phylogenetic tree for terpene synthase genes. Different colors indicate different groups. (B) Motif analysis for terpene synthase genes. The length and different colors of boxes denote motif length and different motifs, respectively. (C) Distribution of 10 terpene synthase genes on G. tsugae contigs. (D) Terpene synthase-related gene clusters.",FIGURE 5Analysis of terpene synthases genes.,terpene,CHEMICAL,20,27,,,,
33,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\7_genome-wide_identification_and\2_fig.xml,"FIGURE 5Analysis of terpene synthases genes. (A) Phylogenetic tree for terpene synthase genes. Different colors indicate different groups. (B) Motif analysis for terpene synthase genes. The length and different colors of boxes denote motif length and different motifs, respectively. (C) Distribution of 10 terpene synthase genes on G. tsugae contigs. (D) Terpene synthase-related gene clusters.",(A) Phylogenetic tree for terpene synthase genes.,terpene,CHEMICAL,26,33,,,,
35,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\7_genome-wide_identification_and\2_fig.xml,"FIGURE 5Analysis of terpene synthases genes. (A) Phylogenetic tree for terpene synthase genes. Different colors indicate different groups. (B) Motif analysis for terpene synthase genes. The length and different colors of boxes denote motif length and different motifs, respectively. (C) Distribution of 10 terpene synthase genes on G. tsugae contigs. (D) Terpene synthase-related gene clusters.",(B) Motif analysis for terpene synthase genes.,terpene,CHEMICAL,23,30,,,,
37,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\7_genome-wide_identification_and\2_fig.xml,"FIGURE 5Analysis of terpene synthases genes. (A) Phylogenetic tree for terpene synthase genes. Different colors indicate different groups. (B) Motif analysis for terpene synthase genes. The length and different colors of boxes denote motif length and different motifs, respectively. (C) Distribution of 10 terpene synthase genes on G. tsugae contigs. (D) Terpene synthase-related gene clusters.",(C) Distribution of 10 terpene synthase genes on G. tsugae contigs.,terpene,CHEMICAL,23,30,,,,
39,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\0_fig.xml,"Figure 1Biplots of principal component analyses (only the two first components (Dim) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire modalities for P. halepensis’ shoot (a) and litter (b) flammability. Populations sampled in the high Fire recurrence modality (PHF) are circled in blue, and populations sampled in the No-Fire modality (PHNF) are circled in orange. The correlation plots indicate the regression coefficient of each trait on each component: the darker and larger the circle color and size, the stronger the correlation.",Figure 1Biplots of principal component analyses (only the two first components (Dim) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire modalities for P. halepensis’ shoot (a) and litter (b) flammability.,"1Biplots, P. halepensis’","CHEMICAL, DISEASE","7, 206","15, 220",,,,
40,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\0_fig.xml,"Figure 1Biplots of principal component analyses (only the two first components (Dim) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire modalities for P. halepensis’ shoot (a) and litter (b) flammability. Populations sampled in the high Fire recurrence modality (PHF) are circled in blue, and populations sampled in the No-Fire modality (PHNF) are circled in orange. The correlation plots indicate the regression coefficient of each trait on each component: the darker and larger the circle color and size, the stronger the correlation.","Populations sampled in the high Fire recurrence modality (PHF) are circled in blue, and populations sampled in the No-Fire modality (PHNF) are circled in orange.","blue, No-Fire","CHEMICAL, CHEMICAL","78, 115","82, 122",PHNF,populations sampled in the No-Fire modality,24,25
42,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\1_fig.xml,"Figure 2Biplots of principal component analyses (only the two first components (Dime) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire recurrence modalities for P. sylvestris’ shoot (a) and litter (b) flammability. Populations sampled in the high Fire recurrence modality (PSF) are circled in blue, and populations sampled in the No-Fire modality (PSNF) are circled in orange. The correlation plots indicate the regression coefficient of each trait on each component: the darker and larger the circle color and size, the stronger the correlation.",Figure 2Biplots of principal component analyses (only the two first components (Dime) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire recurrence modalities for P. sylvestris’ shoot (a) and litter (b) flammability.,"2Biplots, P. sylvestris’","CHEMICAL, DISEASE","7, 218","15, 232",,,,
43,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\1_fig.xml,"Figure 2Biplots of principal component analyses (only the two first components (Dime) are shown) illustrating relationships between flammability variables (Tmax: maximum temperature) and fire recurrence modalities for P. sylvestris’ shoot (a) and litter (b) flammability. Populations sampled in the high Fire recurrence modality (PSF) are circled in blue, and populations sampled in the No-Fire modality (PSNF) are circled in orange. The correlation plots indicate the regression coefficient of each trait on each component: the darker and larger the circle color and size, the stronger the correlation.","Populations sampled in the high Fire recurrence modality (PSF) are circled in blue, and populations sampled in the No-Fire modality (PSNF) are circled in orange.","blue, No-Fire","CHEMICAL, CHEMICAL","78, 115","82, 122",PSNF,populations sampled in the No-Fire modality,24,25
45,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\2_fig.xml,"Figure 3Variation of monoterpene, sesquiterpene, diterpene, and total terpene concentrations (means ± SD, in mg g−1 DM) according to the fire modality for P. halepensis. PHF: P. halepensis’ “Fire” modality and PHNF: P. halepensis’ “No-Fire” modality. Letters indicate differences between terpene families according to the fire modality (A > a, B > b, C > c, and D > d), Kruskal-Wallis test, p < 0.005.","Figure 3Variation of monoterpene, sesquiterpene, diterpene, and total terpene concentrations (means ± SD, in mg g−1 DM) according to the fire modality for P. halepensis.","monoterpene, terpene, ±, g−1 DM, P. halepensis","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, DISEASE","21, 70, 100, 112, 155","32, 77, 101, 118, 168",,,,
46,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\2_fig.xml,"Figure 3Variation of monoterpene, sesquiterpene, diterpene, and total terpene concentrations (means ± SD, in mg g−1 DM) according to the fire modality for P. halepensis. PHF: P. halepensis’ “Fire” modality and PHNF: P. halepensis’ “No-Fire” modality. Letters indicate differences between terpene families according to the fire modality (A > a, B > b, C > c, and D > d), Kruskal-Wallis test, p < 0.005.",PHF: P. halepensis’ “Fire” modality and PHNF: P. halepensis’ “No-Fire” modality.,"P. halepensis’, P. halepensis’, No-Fire","CHEMICAL, CHEMICAL, CHEMICAL","5, 46, 62","19, 60, 69",,,,
47,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\2_fig.xml,"Figure 3Variation of monoterpene, sesquiterpene, diterpene, and total terpene concentrations (means ± SD, in mg g−1 DM) according to the fire modality for P. halepensis. PHF: P. halepensis’ “Fire” modality and PHNF: P. halepensis’ “No-Fire” modality. Letters indicate differences between terpene families according to the fire modality (A > a, B > b, C > c, and D > d), Kruskal-Wallis test, p < 0.005.","Letters indicate differences between terpene families according to the fire modality (A > a, B > b, C > c, and D > d), Kruskal-Wallis test, p < 0.005.",terpene,CHEMICAL,37,44,,,,
48,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\3_fig.xml,"Figure 4Map of the study area with a focus on the northern and southern sampling plots (PH, P. halepensis; PS, P. sylvestris; F, “Fire” populations; NF, “No-Fire” populations).","Figure 4Map of the study area with a focus on the northern and southern sampling plots (PH, P. halepensis; PS, P. sylvestris; F, “Fire” populations; NF, “No-Fire” populations).","P. halepensis, PS, P. sylvestris, No-Fire","DISEASE, CHEMICAL, DISEASE, CHEMICAL","92, 107, 111, 154","105, 109, 124, 161",,,,
49,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\4_fig.xml,Figure 5Picture of the burning device used for shoot sample in both species.,Figure 5Picture of the burning device used for shoot sample in both species.,5Picture,CHEMICAL,7,15,,,,
50,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\5_fig.xml,Figure 6Picture of the burning device for P. halepensis’ litter.,Figure 6Picture of the burning device for P. halepensis’ litter.,"6Picture, P. halepensis’","CHEMICAL, DISEASE","7, 42","15, 56",,,,
51,C:\Users\shweata\docanalysis\terpene_fig\PMC8541587\sections\4_floats-group\6_fig.xml,Figure 7Picture of the burning device for P. sylvestris litter.,Figure 7Picture of the burning device for P. sylvestris litter.,P. sylvestris,DISEASE,42,55,,,,
54,C:\Users\shweata\docanalysis\terpene_fig\PMC8546548\sections\2_body\0_commentary\3_fig.xml,"FIG 1Sodium-induced changes in Thraustochytrium sp. metabolism (adapted from reference 4). The schematic pathways illustrate terpene synthesis from glucose or fatty acid (FA) β-oxidation, and the changes that occur in Thraustochytrium sp. metabolism under sodium (NaCl) supplementation growth conditions. Significantly increased levels of metabolites and enzymes are shown in green, while significantly decreased levels of metabolites or enzymes, determined by comparative proteomics and metabolomics, are shown in pink. For clarity, numerous steps were omitted (dashed arrows) to highlight the identified changes. The red asterisk indicates the rate-limiting enzyme in both growth conditions, determined by in silico analysis of local thermodynamics. EMP, Embden-Meyerhof-Parnas pathway; HK, hexokinase; ALDO, fructose-biphosphate aldolase; PGK, phosphoglycerate kinase; ACC, acetyl-CoA carboxylase; FAS I, fatty acid synthase I; ACAD, acyl-CoA dehydrogenase; MVA, mevalonate pathway; ACAT, acetyl-CoA acetyltransferase; HMGS, 3-hydroxy-3-methylglutaryl-CoA synthase; MVK, mevalonate kinase; MDD, mevalonate diphosphate decarboxylase; HMGR, 3-hydroxy-3-methylglutaryl-CoA reductase; IDI, 3-ketoacyl-CoA thiolase; 3PG, 3-phospho-d-glyceroyl phosphate; MVA, mevalonate; DMAPP, dimethylallyl diphosphate; PDHX, pyruvate dehydrogenase protein X component; DLAT, dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; TCA, tricarboxylic acid cycle; PKS, polyketide synthase pathway.","The schematic pathways illustrate terpene synthesis from glucose or fatty acid (FA) β-oxidation, and the changes that occur in Thraustochytrium sp.","terpene, glucose, fatty acid, Thraustochytrium sp.","CHEMICAL, CHEMICAL, CHEMICAL, DISEASE","34, 57, 68, 127","41, 64, 78, 147",FA,fatty acid,12,13
55,C:\Users\shweata\docanalysis\terpene_fig\PMC8546548\sections\2_body\0_commentary\3_fig.xml,"FIG 1Sodium-induced changes in Thraustochytrium sp. metabolism (adapted from reference 4). The schematic pathways illustrate terpene synthesis from glucose or fatty acid (FA) β-oxidation, and the changes that occur in Thraustochytrium sp. metabolism under sodium (NaCl) supplementation growth conditions. Significantly increased levels of metabolites and enzymes are shown in green, while significantly decreased levels of metabolites or enzymes, determined by comparative proteomics and metabolomics, are shown in pink. For clarity, numerous steps were omitted (dashed arrows) to highlight the identified changes. The red asterisk indicates the rate-limiting enzyme in both growth conditions, determined by in silico analysis of local thermodynamics. EMP, Embden-Meyerhof-Parnas pathway; HK, hexokinase; ALDO, fructose-biphosphate aldolase; PGK, phosphoglycerate kinase; ACC, acetyl-CoA carboxylase; FAS I, fatty acid synthase I; ACAD, acyl-CoA dehydrogenase; MVA, mevalonate pathway; ACAT, acetyl-CoA acetyltransferase; HMGS, 3-hydroxy-3-methylglutaryl-CoA synthase; MVK, mevalonate kinase; MDD, mevalonate diphosphate decarboxylase; HMGR, 3-hydroxy-3-methylglutaryl-CoA reductase; IDI, 3-ketoacyl-CoA thiolase; 3PG, 3-phospho-d-glyceroyl phosphate; MVA, mevalonate; DMAPP, dimethylallyl diphosphate; PDHX, pyruvate dehydrogenase protein X component; DLAT, dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; TCA, tricarboxylic acid cycle; PKS, polyketide synthase pathway.",metabolism under sodium (NaCl) supplementation growth conditions.,"sodium, NaCl","CHEMICAL, CHEMICAL","17, 25","23, 29",,,,
59,C:\Users\shweata\docanalysis\terpene_fig\PMC8546548\sections\2_body\0_commentary\3_fig.xml,"FIG 1Sodium-induced changes in Thraustochytrium sp. metabolism (adapted from reference 4). The schematic pathways illustrate terpene synthesis from glucose or fatty acid (FA) β-oxidation, and the changes that occur in Thraustochytrium sp. metabolism under sodium (NaCl) supplementation growth conditions. Significantly increased levels of metabolites and enzymes are shown in green, while significantly decreased levels of metabolites or enzymes, determined by comparative proteomics and metabolomics, are shown in pink. For clarity, numerous steps were omitted (dashed arrows) to highlight the identified changes. The red asterisk indicates the rate-limiting enzyme in both growth conditions, determined by in silico analysis of local thermodynamics. EMP, Embden-Meyerhof-Parnas pathway; HK, hexokinase; ALDO, fructose-biphosphate aldolase; PGK, phosphoglycerate kinase; ACC, acetyl-CoA carboxylase; FAS I, fatty acid synthase I; ACAD, acyl-CoA dehydrogenase; MVA, mevalonate pathway; ACAT, acetyl-CoA acetyltransferase; HMGS, 3-hydroxy-3-methylglutaryl-CoA synthase; MVK, mevalonate kinase; MDD, mevalonate diphosphate decarboxylase; HMGR, 3-hydroxy-3-methylglutaryl-CoA reductase; IDI, 3-ketoacyl-CoA thiolase; 3PG, 3-phospho-d-glyceroyl phosphate; MVA, mevalonate; DMAPP, dimethylallyl diphosphate; PDHX, pyruvate dehydrogenase protein X component; DLAT, dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; TCA, tricarboxylic acid cycle; PKS, polyketide synthase pathway.","EMP, Embden-Meyerhof-Parnas pathway; HK, hexokinase; ALDO, fructose-biphosphate aldolase; PGK, phosphoglycerate kinase; ACC, acetyl-CoA carboxylase; FAS I, fatty acid synthase I; ACAD, acyl-CoA dehydrogenase; MVA, mevalonate pathway; ACAT, acetyl-CoA acetyltransferase; HMGS, 3-hydroxy-3-methylglutaryl-CoA synthase; MVK, mevalonate kinase; MDD, mevalonate diphosphate decarboxylase; HMGR, 3-hydroxy-3-methylglutaryl-CoA reductase; IDI, 3-ketoacyl-CoA thiolase; 3PG, 3-phospho-d-glyceroyl phosphate; MVA, mevalonate; DMAPP, dimethylallyl diphosphate; PDHX, pyruvate dehydrogenase protein X component; DLAT, dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; TCA, tricarboxylic acid cycle; PKS, polyketide synthase pathway.","Embden-Meyerhof-Parnas, fructose-biphosphate, FAS, fatty acid, ACAD, mevalonate, mevalonate, MDD, mevalonate diphosphate, 3PG, phosphate, mevalonate, DMAPP, dimethylallyl diphosphate, PDHX, pyruvate, pyruvate, TCA, tricarboxylic acid","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, DISEASE, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","5, 59, 149, 156, 179, 214, 322, 341, 346, 462, 489, 505, 517, 524, 551, 557, 666, 698, 703","27, 79, 152, 166, 183, 224, 332, 344, 368, 465, 498, 515, 522, 549, 555, 565, 674, 701, 721",,,,
61,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\0_fig.xml,"Figure 1Principal component analysis of the volatile organic compounds (hexane-extracted) from the leaves of the Sugar Belle mandarin hybrid on three different rootstocks (A) control trees (non-infested), (B) one month after infestation with Diaphorina citri, and (C) both control trees and D. citri-infested trees shown together in the same PCA. The PCA plots show that the Sugar Belle leaf VOC response to D. citri was rootstock specific. The numbers in the loading plots correspond to the compounds that are listed in Table 1. PCA symbols: control trees are shown as closed symbols; infested trees are shown as open symbols; US-897 (orange circles); C-35 (green triangles); and SO (blue squares).",The PCA plots show that the Sugar Belle leaf VOC response to D. citri was rootstock specific.,VOC,CHEMICAL,45,48,,,,
63,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\0_fig.xml,"Figure 1Principal component analysis of the volatile organic compounds (hexane-extracted) from the leaves of the Sugar Belle mandarin hybrid on three different rootstocks (A) control trees (non-infested), (B) one month after infestation with Diaphorina citri, and (C) both control trees and D. citri-infested trees shown together in the same PCA. The PCA plots show that the Sugar Belle leaf VOC response to D. citri was rootstock specific. The numbers in the loading plots correspond to the compounds that are listed in Table 1. PCA symbols: control trees are shown as closed symbols; infested trees are shown as open symbols; US-897 (orange circles); C-35 (green triangles); and SO (blue squares).",PCA symbols: control trees are shown as closed symbols; infested trees are shown as open symbols; US-897 (orange circles); C-35 (green triangles); and SO (blue squares).,US-897,CHEMICAL,98,104,,,,
64,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\1_fig.xml,"Figure 2Two-way hierarchical cluster analysis and heat map of VOC concentrations hexane-extracted from the leaves of control and Diaphorina citri-infested Sugar Belle trees on three rootstocks (US-897, C-35 trifoliate, and sour orange). The clusters 1–5 represent groups of compounds with a similar response to the infestation for each rootstock. The rows represent the compounds while the columns represent the treatments (control or infested). The cells are the mean concentration (µg·g−1) of each compound (n ranges from 6 to 12).","Figure 2Two-way hierarchical cluster analysis and heat map of VOC concentrations hexane-extracted from the leaves of control and Diaphorina citri-infested Sugar Belle trees on three rootstocks (US-897, C-35 trifoliate, and sour orange).","VOC, hexane-extracted, US-897","CHEMICAL, CHEMICAL, CHEMICAL","62, 81, 194","65, 97, 200",,,,
68,C:\Users\shweata\docanalysis\terpene_fig\PMC8623621\sections\4_floats-group\2_fig.xml,"Figure 3Relative percentages of VOCs by compound class that were detected in the hexane extracts of mature leaves from Sugar Belle mandarin hybrids on three different rootstocks (US-897, C-35 trifoliate, and sour orange), and their changes due to infestation with Diaphorina citri.","Figure 3Relative percentages of VOCs by compound class that were detected in the hexane extracts of mature leaves from Sugar Belle mandarin hybrids on three different rootstocks (US-897, C-35 trifoliate, and sour orange), and their changes due to infestation with Diaphorina citri.",US-897,CHEMICAL,179,185,,,,
