,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8055957\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Ethics Committee of Rizhao People’s Hospial.,['Ethics Committee of'],1,['The animal study was reviewed and approved by the Ethics Committee of Rizhao People’s Hospial.'],[[the Ethics Committee of Rizhao People’s Hospial]],[['ORG']],[[46]],[[93]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8067101\sections\1_body\0_1__introduction\2_p.xml,"In March 2009, U.S. President Barack Obama ended the ban against the use of federal funding for human ES cell research, accelerating the impetus for research using ES cells. In Japan, the double examination system for research using human ES cells was also abolished, leaving the ethical aspects of research using human ES cells to the ethics committee of each research institution. For various reasons, the use of ES cells had been limited to basic research, as there have been ethical issues associated with breaking and separating fertilized eggs. However, in August 2006, Professor Shinya Yamanaka of Kyoto University succeeded in creating induced pluripotent stem (iPS) cells by introducing several types of genes into the skin cells of adult mice [  4 ]. In November 2007, iPS cells derived from human cells were successfully produced [  5 ]. Following on this success, “regenerative medicine” with transplanted iPS cells has begun to draw much attention as a new approach for restoring the function of cells and tissues damaged by injury or disease (  Table 2 ).",['ethics committee of'],1,"['In Japan, the double examination system for research using human ES cells was also abolished, leaving the ethical aspects of research using human ES cells to the ethics committee of each research institution.']","[[Japan, ES, ES]]","[['GPE', 'ORG', 'ORG']]","[[3, 65, 146]]","[[8, 67, 148]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8067101\sections\2_back\5_notes.xml," Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki and was approved by the Institutional Review Board of Fujita Health University (protocol code: 05-065, approval date: 21 December 2005). All procedures were performed according to the ARVO Statement for the Use of Animals in Ophthalmic and Vision Research and were approved (approval No. M2701, approval date: 16 February 2017) of the Education and Research Center for Animal Models of Human Diseases of Fujita Health University. The experiment was carried out with the approval of the Recombinant DNA Experiment Committee of Fujita Medical University (approval No. 232, approval date: 17 November 2016). ",['Institutional Review Board of'],1,"['The study was conducted according to the guidelines of the Declaration of Helsinki and was approved by the Institutional Review Board of Fujita Health University (protocol code: 05-065, approval date: 21 December 2005).']",[[the Institutional Review Board of Fujita Health University]],[['ORG']],[[103]],[[161]],[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8117323\sections\1_body\1_methods\1_ethics_statement\1_p.xml,"All animal protocols used in this study were reviewed and approved by the Animal Care and Use Committee of Chongqing Medical University, and the experimental procedures were performed in accordance with the National Institutes of Health guidelines. All efforts were made to minimize animal suffering.",['Animal Care and Use Committee of'],1,"['All animal protocols used in this study were reviewed and approved by the Animal Care and Use Committee of Chongqing Medical University, and the experimental procedures were performed in accordance with the National Institutes of Health guidelines.']","[[Chongqing Medical University, the National Institutes of Health]]","[['ORG', 'ORG']]","[[107, 203]]","[[135, 236]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8117323\sections\2_back\6_notes.xml," Declarations   Ethics approval and consent to participate  All animal protocols used in this study were reviewed and approved by the Animal Care and Use Committee of Chongqing Medical University, and the experimental procedures were performed in accordance with the National Institutes of Health guidelines.    Consent for publication  Not applicable    Competing interests  The authors declare that they have no competing interests.  ",['Animal Care and Use Committee of'],1,"['All animal protocols used in this study were reviewed and approved by the Animal Care and Use Committee of Chongqing Medical University, and the experimental procedures were performed in accordance with the National Institutes of Health guidelines.']","[[Chongqing Medical University, the National Institutes of Health]]","[['ORG', 'ORG']]","[[107, 203]]","[[135, 236]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123387\sections\1_body\33_ev_biomarkers\10_integrated_analysis_of_se\14_p.xml," Methods : Informed consent was obtained and approved by the human research ethics committee of the University of Queensland. sEVs were isolated and characterized from plasma of 48 patients with different clinical outcomes (recurrence, deceased and disease‐free). sEV‐associated miRNAs were then sequenced and specific miRNAs were validated using qPCR. Nanostring GeoMX Digital Spatial Profiler (DSP) platform was used to ascertain the TME contexture on formalin‐fixed EOCs for protein markers of various immune and tumour‐related modules. This was integrated with the sequencing results using Ingenuity Pathway Analysis.",['ethics committee of'],1,['Methods : Informed consent was obtained and approved by the human research ethics committee of the University of Queensland.'],[[the University of Queensland]],[['ORG']],[[95]],[[123]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123387\sections\1_body\36_ev_uptake\8_intratumoral_cellular_het\6_p.xml," Methods : The Ethics Committee of the Medical Research Council of Hungary approved our experiments and informed consent was obtained from patients. We sorted patient‐derived organoid cells, we measured the ratio of proliferating cells, organoid diameter and analyzed gene expression profiles. We detected EVs by antibody‐coated beads and flow cytometry, NTA, Western‐blotting and TEM. The uptake of labelled large EVs was visualized by confocal microscopy and the functional importance of the uptake was assessed by immunocytochemistry.",['Ethics Committee of'],1,['Methods : The Ethics Committee of the Medical Research Council of Hungary approved our experiments and informed consent was obtained from patients.'],"[[The Ethics Committee of, the Medical Research Council]]","[['ORG', 'ORG']]","[[10, 34]]","[[33, 62]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123387\sections\1_body\52_engineering_and_loading_e\11_spion_decorated_neutrophi\5_p.xml," Methods : Neutrophils were isolated from peripheral blood by using polymorphprep (Axis‐Shield Po CAS, Norway), and the study was approved by the ethics committee of Jiangsu University (2014280).",['ethics committee of'],1,"['Methods : Neutrophils were isolated from peripheral blood by using polymorphprep (Axis‐Shield Po CAS, Norway), and the study was approved by the ethics committee of Jiangsu University (2014280).']","[[Norway, Jiangsu University]]","[['GPE', 'ORG']]","[[102, 165]]","[[108, 183]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123387\sections\1_body\58_nucleic_acid_biomarkers\7_the_potential_value_and_m\9_p.xml,All patients gave their written informed consent to participate in this study. And the study was approved by the Medical Ethics Committee of Jiangsu University ((IRB protocol number: 2020161).,['Ethics Committee of'],1,['And the study was approved by the Medical Ethics Committee of Jiangsu University ((IRB protocol number: 2020161).'],"[[the Medical Ethics Committee of Jiangsu University, IRB]]","[['ORG', 'ORG']]","[[30, 83]]","[[80, 86]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123387\sections\1_body\59_mirna_biomarkers\13_novel_serum_exosomal_mirn\6_p.xml," Methods : Exploration of the non‐invasive serum exosomal based miRNAs (sEXO‐miRNAs) biomarkers through NGS in 9 participants (ESLC‐3, BLN‐3 and H‐3) and validated by 143 (ESLC‐46, BLN‐46 and H‐51) recruiters via RT‐PCR in a cohort of Zhongda Hospital affiliated to Southeast University. Furthermore, the sEXO‐miRNAs were combined with clinic‐radiological data to establish the radiogenomics model via logistic regression analysis of 2 groups (ESLC‐46, BLN‐46). The study was approved by the ethics committee of Zhongda Hospital affiliated to Southeast University, Nanjing, China.",['ethics committee of'],1,"['The study was approved by the ethics committee of Zhongda Hospital affiliated to Southeast University, Nanjing, China.']","[[Zhongda Hospital, Southeast University, Nanjing, China]]","[['ORG', 'ORG', 'GPE', 'GPE']]","[[50, 81, 103, 112]]","[[66, 101, 110, 117]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123975\sections\1_body\1_materials_and_methods\3_mscs_isolation_and_expans\1_p.xml,"The use of the human umbilical cord in this study was approved by the Ethics Committee of the China-Japan Union Hospital of Jilin University with the patient providing written informed consent. The umbilical cord was washed using penicillin-streptomycin (Gibco, Gaithersburg, MD, USA) in a pre-cooled 0.01 mmol/L petri dish; further, the arteries and veins were removed. Next, it was cut into tissue blocks (approximately 5 mm × 5 mm × 5 mm) with each 3 mm spacer being inoculated into a 10 cm petri dish. Subsequently, we added Dulbecco’s Modified Eagle Medium (2~3mL) containing 20% fetal bovine serum (Thermo Fisher Scientific, Waltham, MA, USA) followed by culturing the tissue at 37 °C in 5% CO  2 . The culture medium was changed twice a week. After treatment for 2 min with 0.05% trypsin and 0.02% EDTA (Sigma-Aldrich Co., St Louis, MO, USA) at 37 °C, the MSCs were sub-cultured under 80% fusion conditions.",['Ethics Committee of'],1,['The use of the human umbilical cord in this study was approved by the Ethics Committee of the China-Japan Union Hospital of Jilin University with the patient providing written informed consent.'],"[[the Ethics Committee, the China-Japan Union Hospital of, Jilin University]]","[['ORG', 'ORG', 'ORG']]","[[66, 90, 124]]","[[86, 123, 140]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8123975\sections\2_back\2_ethics_approval_and_conse\1_p.xml,The use of the human umbilical cord in this study was approved by the Ethics Committee of the China-Japan Union Hospital of Jilin University with the patient providing written informed consent. Animal experiment was approved by the Animal Welfare and Research Ethics Committee (Experiment number: 20200725-1),['Ethics Committee of'],1,['The use of the human umbilical cord in this study was approved by the Ethics Committee of the China-Japan Union Hospital of Jilin University with the patient providing written informed consent.'],"[[the Ethics Committee, the China-Japan Union Hospital of, Jilin University]]","[['ORG', 'ORG', 'ORG']]","[[66, 90, 124]]","[[86, 123, 140]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8124683\sections\1_body\3_4__materials_and_methods\1_4_1__obtaining_the_primar\1_p.xml,The material for this study was obtained on the basis of the patients’ informed consent. The ongoing research received the ethical approval of the ethics committee of the St. Petersburg Clinical Research and Practical Center of Specialized Types of Medical Care (Oncologic). Tumor material was obtained during the planned surgical treatment of 12 patients. Tissue fragments were transported to the laboratory within 6–12 h after surgery in saline solution.,['ethics committee of'],1,['The ongoing research received the ethical approval of the ethics committee of the St. Petersburg Clinical Research and Practical Center of Specialized Types of Medical Care (Oncologic).'],[[the St. Petersburg Clinical Research and Practical Center of Specialized Types of Medical Care (Oncologic]],[['ORG']],[[78]],[[183]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8124683\sections\2_back\5_notes.xml," Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki. All animal procedures were carried out in accordance with the Animal Welfare Assurance (Assurance Identification number F18-00380) of the Institute of Cytology, Russian Academy of Sciences (valid from 12 October 2017 to 31 October 2022) for the protection of animals that are reared at experimental farms and used for scientific purposes. The Ethics Committee of Saint-Petersburg I. I. Dzhanelidze Research Institute of Emergency Medicine had issued human cell culture study permits for the Institute of Cytology, Russian Academy of Sciences (№7/ 18.09.2018). ",['Ethics Committee of'],1,"['The Ethics Committee of Saint-Petersburg I. I. Dzhanelidze Research Institute of Emergency Medicine had issued human cell culture study permits for the Institute of Cytology, Russian Academy of Sciences (№7/ 18.09.2018).']","[[The Ethics Committee of Saint-Petersburg, the Institute of Cytology, Russian Academy of Sciences]]","[['ORG', 'ORG', 'ORG']]","[[0, 148, 175]]","[[40, 173, 202]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8139053\sections\2_back\6_notes.xml, Declarations   Ethics approval and consent to participate  All experimental protocols used in this work were conducted following relevant guidelines and regulations of Tongji University and were approved by the Ethics Committee of the Tongji University for Laboratory Animal Medicine (approval number TJLAC-019-141).    Consent for publication  Not applicable.    Competing interests  The authors declare no conflicts of interest.  ,['Ethics Committee of'],1,['All experimental protocols used in this work were conducted following relevant guidelines and regulations of Tongji University and were approved by the Ethics Committee of the Tongji University for Laboratory Animal Medicine (approval number TJLAC-019-141).'],"[[Tongji University, the Ethics Committee of the Tongji University for Laboratory Animal Medicine]]","[['ORG', 'ORG']]","[[109, 148]]","[[126, 224]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8148142\sections\2_back\3_notes.xml," Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Ethics Committee of Regensburg University (protocol code 08/117, 7 November 2008). ",['Ethics Committee of'],1,"['The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Ethics Committee of Regensburg University (protocol code 08/117, 7 November 2008).']",[[the Ethics Committee of Regensburg University]],[['ORG']],[[100]],[[145]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8164249\sections\1_body\1_methods\1_culture_of_hpdpscs\1_p.xml,"All animal procedures were approved by the Animal Care and Use Committee of the National Center for Geriatrics and Gerontology, Research Institute (permission #30-19, #31-17) and the Aichi Medical University (permission #2019-92, #2020-92) and Shin Nippon Biomedical Laboratories Ltd (permission #IACUC860-017). All procedures and methods were performed in accordance with relevant guidelines and regulations. Upper third incisors, a total of 12 teeth from 6 young female beagle dogs (Kitayama Lab, Ina, Japan) at 1 year old were used for isolation of MDPSCs and hpDPSCs. For hpDPSCs, isolated DPSCs were cultured in a stable hypoxic condition in a closed container with a regular octahedron having 21 cm  2  of each surface (Animal Stem Cell, Tokyo, Japan), in which humidified gas mixtures of the composition of 5% O  2 –5% CO  2 –90% N  2  were flushed. The pH of the hypoxic cultures was adjusted by adding HEPES buffer (Gibco, Dublin, Ireland) at a final concentration of 25 mM to Dulbecco’s modified Eagle’s medium (DMEM) (Sigma Aldrich, MO, USA) supplemented with 10% fetal bovine serum (FBS, GE Healthcare, Little Chalfont, England). Each sensor chip (SP-LG1-SA-S, and SP-PSt3-SA, PreSens, Regensburg, Germany) was patched on the bottom of the container inside, respectively, and the pH and O  2  concentration in the DMEM and the air were measured by non-contact pH meter (pH-1SMA LG1; PreSens) and non-contact oxygen analyzer (OXY-1SMA trace, PreSens).",['Animal Care and Use Committee of'],1,"['All animal procedures were approved by the Animal Care and Use Committee of the National Center for Geriatrics and Gerontology, Research Institute (permission #30-19, #31-17) and the Aichi Medical University (permission #2019-92, #2020-92) and Shin Nippon Biomedical Laboratories Ltd (permission #IACUC860-017).']","[[the National Center for Geriatrics and Gerontology,, Research Institute, the Aichi Medical University, Shin Nippon Biomedical Laboratories Ltd]]","[['ORG', 'ORG', 'ORG', 'ORG']]","[[76, 128, 179, 244]]","[[127, 146, 207, 283]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8164249\sections\2_back\6_notes.xml," Declarations   Ethics approval  All animal procedures were approved by the Animal Care and Use Committee of the National Center forGeriatrics and Gerontology, Research Institute (permission #30-19, #31-17) and the Aichi Medical University (permission #2019-92, #2020-92) and Shin Nippon Biomedical Laboratories Ltd (permission #IACUC860-017).    Consent for publication  Not applicable.    Competing interests  The corresponding author Nakashima M receives research support from the Air Water Inc. A detailed listing of Nakashima’s financial disclosures is available at     https://www.awi.co.jp/business/medical/med_guideline/med_guideline_info.html  and     https://www.ncgg.go.jp/research/annualreport/documents/2019nenpo1.pdf . No other author has reported a potential conflict of interest relevant to this article.    ",['Animal Care and Use Committee of'],1,"['All animal procedures were approved by the Animal Care and Use Committee of the National Center forGeriatrics and Gerontology, Research Institute (permission #30-19, #31-17) and the Aichi Medical University (permission #2019-92, #2020-92) and Shin Nippon Biomedical Laboratories Ltd (permission #IACUC860-017).']","[[Gerontology, Research Institute, the Aichi Medical University, Shin Nippon Biomedical Laboratories Ltd]]","[['ORG', 'ORG', 'ORG']]","[[114, 178, 243]]","[[145, 206, 282]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8164319\sections\2_back\6_notes.xml, Declarations   Ethics approval and consent to participate  Ethical approval was obtained from the Institutional Review Board of The University of Hong Kong/Hospital Authority Hong Kong West Cluster (IRB reference number UW15-128). Each woman signed a written consent after full counseling.    Consent for publication  Written informed consent was obtained from the donors for recording/using their individual details (age and gender) for research purposes.    Competing interests  The authors declare no competing interests.  ,['Institutional Review Board of'],1,['Declarations   Ethics approval and consent to participate  Ethical approval was obtained from the Institutional Review Board of The University of Hong Kong/Hospital Authority Hong Kong West Cluster (IRB reference number UW15-128).'],"[[the Institutional Review Board of The University of Hong Kong/Hospital Authority, IRB]]","[['ORG', 'ORG']]","[[94, 199]]","[[174, 202]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8164820\sections\2_back\6_notes.xml," Declarations   Ethics approval and consent to participate  The use of human adipose tissue and foreskin was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No. 2018-S288). All the young patients’ parents and adult patients have been informed in advance and consented to participate in this study.    Consent for publication  Not applicable.    Competing interests  The authors declare that they have no competing interests.  ",['Ethics Committee of'],1,"['The use of human adipose tissue and foreskin was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No. 2018-S288).']","[[the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology]]","[['ORG', 'ORG']]","[[61, 109]]","[[107, 154]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8178760\sections\0_front\1_article-meta\20_abstract.xml," Dental pulp stem cells are dental pulp-derived mesenchymal stem cells that originate from the neural crest. They exhibit greater potential for the treatment of nervous system diseases than other types of stem cells because of their neurogenic differentiation capability and their ability to secrete multiple neurotrophic factors. Few studies have reported Alzheimer’s disease treatment using dental pulp stem cells. Rat models of Alzheimer’s disease were established by injecting amyloid-β1–42 into the hippocampus. Fourteen days later, 5 × 10   6  dental pulp stem cells were injected into the hippocampus. Immunohistochemistry and western blot assays showed that dental pulp stem cell transplantation increased the expression of neuron-related doublecortin, NeuN, and neurofilament 200 in the hippocampus, while the expression of amyloid-β was decreased. Moreover, cognitive and behavioral abilities were improved. These findings indicate that dental pulp stem cell transplantation in rats can improve cognitive function by regulating the secretion of neuron-related proteins, which indicates a potential therapeutic effect for Alzheimer’s disease. This study was approved by the Animal Ethics Committee of Harbin Medical University, China (approval No. KY2017-132) on February 21, 2017.  ",['Ethics Committee of'],1,"['This study was approved by the Animal Ethics Committee of Harbin Medical University, China (approval No. KY2017-132) on February 21, 2017.']","[[the Animal Ethics Committee, Harbin Medical University, China]]","[['ORG', 'ORG', 'GPE']]","[[27, 58, 85]]","[[54, 83, 90]]",[['Ethics Committee of']]
